Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;Moyenne loyer mensuel;Surface moyenne (m²);nombre_observations;nombre_logements;methodologie_production
B2900;2025;Brest;;;;;;7.4;8.6;10;11.7;14.3;9.5;350;434;530;670;840;572;60;4341;27162;Estimation directe
B2900;2025;Brest;;;;;Maison 1-3P;;;;;;;;;;;;;;34;;Estimation directe
B2900;2025;Brest;;;;;Ensemble 4P+;6.5;7.2;8.4;9.4;10;8.2;540;621;780;890;1058;782;95;849;7532;Estimation directe
B2900;2025;Brest;;;;;Maison 4P+;6.1;7.4;8.6;9.9;10.7;8.3;667;780;850;940;1150;886;107;232;3101;Estimation directe
B2900;2025;Brest;;;;;Appart 1P;11;12.6;14.5;17;19.1;14.2;295;327;350;400;435;364;26;696;3508;Estimation directe
B2900;2025;Brest;;;;;Appart 2P;8.9;9.8;11.1;12.5;14;11;388;420;473;520;580;474;43;1517;8215;Estimation directe
B2900;2025;Brest;;;;;Appart 3P;7.4;8.3;9.4;10.3;11.1;9.2;452;500;565;647;710;577;63;1245;7271;Estimation directe
B2900;2025;Brest;;;;;Appart 4P+;6.6;7.2;8.2;9.3;9.9;8.2;475;584;677;800;1000;707;86;617;4431;Estimation directe
B2900;2025;Brest;;;;;Ensemble 1P;11;12.6;14.5;17;19.1;14.2;295;327;350;400;435;364;26;696;3531;Estimation directe
B2900;2025;Brest;;;;;Ensemble 2P;8.9;9.9;11.1;12.5;13.9;11;390;420;475;523;580;478;44;1521;8389;Estimation directe
B2900;2025;Brest;;;;;Ensemble 3P;7.4;8.4;9.4;10.3;11;9.2;455;507;570;660;730;586;64;1275;7711;Estimation directe
B2900;2025;Brest;;;;1. Moins de 1 an;;8;9.5;10.6;12.5;16.2;10.1;350;450;540;682;840;582;57;1228;;Estimation directe
B2900;2025;Brest;;;;1. Moins de 1 an;Ensemble 4P+;7.1;7.8;9.1;9.9;10.2;8.5;650;750;825;1000;1090;866;102;192;;Estimation directe
B2900;2025;Brest;;;;1. Moins de 1 an;Ensemble 1P;12.2;14.2;16.2;18.1;20.2;15.5;320;340;361;420;436;375;24;265;;Estimation directe
B2900;2025;Brest;;;;1. Moins de 1 an;Ensemble 2P;9.6;10.5;11.4;12.5;14;11.4;409;450;495;550;600;503;44;417;;Estimation directe
B2900;2025;Brest;;;;1. Moins de 1 an;Ensemble 3P;7.4;8.8;9.6;10.5;12;9.6;490;525;600;690;730;613;64;354;;Estimation directe
B2900;2025;Brest;;;;2. 1 an et plus;;7.1;8.2;9.6;11.2;13.6;9.2;350;430;530;662;834;566;61;3113;;Estimation directe
B2900;2025;Brest;;;;2. 1 an et plus;Ensemble 4P+;6.3;7;8.1;9.2;10;8.2;501;600;734;870;1035;753;92;657;;Estimation directe
B2900;2025;Brest;;;;2. 1 an et plus;Ensemble 1P;10.4;11.8;13.6;16;17.9;13.4;295;320;340;393;432;356;27;431;;Estimation directe
B2900;2025;Brest;;;;2. 1 an et plus;Ensemble 2P;8.4;9.6;10.8;12.4;13.9;10.7;362;414;454;513;577;463;43;1104;;Estimation directe
B2900;2025;Brest;;;;2. 1 an et plus;Ensemble 3P;7.3;8.1;9.2;10;10.7;9;440;500;560;636;720;572;64;921;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;;;7.9;8.9;10.5;12.2;15.8;9.9;350;409;510;667;840;561;57;400;2078;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;;Ensemble 4P+;6.6;7.2;8;8.6;9.2;8;600;650;800;857;1270;817;103;51;482;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;;Ensemble 1P;11.4;12.2;15.8;19;19.4;14.9;300;330;350;395;420;358;24;113;410;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;;Ensemble 2P;8.9;10;10.7;11.9;14;10.8;360;409;480;510;570;474;44;158;781;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;;Ensemble 3P;8.9;9.5;10.4;10.7;11.5;10;466;540;615;750;980;658;66;78;405;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;1. Moins de 1 an;;8;9.6;10.5;12.5;19.4;10.2;357;430;510;710;980;608;60;137;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;2;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;5;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;1. Moins de 1 an;Appart 1P;;;;;;;;;;;;;;45;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;1. Moins de 1 an;Appart 2P;9.8;10;10.8;11.4;14;11.1;409;430;480;500;550;474;43;51;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;1. Moins de 1 an;Appart 3P;;;;;;;;;;;;;;26;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;1. Moins de 1 an;Appart 4P+;;;;;;;;;;;;;;8;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;2. 1 an et plus;;7.4;8.7;10.4;11.8;14.5;9.6;332;390;480;616;800;522;54;263;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;7;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;2. 1 an et plus;Maison 4P+;;;;;;;;;;;;;;15;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;2. 1 an et plus;Appart 1P;9.5;11.6;14.9;17.5;19;13.9;285;304;350;383;425;350;25;68;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;2. 1 an et plus;Appart 2P;7.9;9.1;10.7;12.4;14;10.5;332;390;420;520;570;445;42;104;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;2. 1 an et plus;Appart 3P;;;;;;;;;;;;;;46;;Estimation directe
B2900;2025;Brest;;;1. Avant 1946;2. 1 an et plus;Appart 4P+;;;;;;;;;;;;;;23;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;;;7;8.1;9.6;11.2;13.6;9.2;370;447;540;630;766;562;61;1698;8806;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;;Ensemble 4P+;6.3;7;8;9.4;10.1;8.1;459;582;675;780;1040;709;87;404;2459;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;;Ensemble 1P;11;11.5;13.6;15.3;18.4;13.4;330;334;395;435;489;389;29;226;891;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;;Ensemble 2P;8.6;9.8;11;12.5;13.7;10.9;359;421;480;558;603;484;44;463;2474;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;;Ensemble 3P;7.1;8;8.8;10;11;8.8;417;500;550;615;720;560;63;605;2982;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;1. Moins de 1 an;;8;8.9;10.5;12.4;14.4;10;350;455;578;660;750;572;57;456;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;7;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;1. Moins de 1 an;Appart 1P;11.1;12.4;14.4;16;18.4;14.2;334;350;403;435;470;403;28;76;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;1. Moins de 1 an;Appart 2P;8.9;10.5;12;12.6;14;11.6;334;447;510;589;650;516;45;117;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;1. Moins de 1 an;Appart 3P;7.7;8.7;9.5;10.6;12;9.4;477;550;585;680;725;583;62;168;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;1. Moins de 1 an;Appart 4P+;7.5;8.6;9.3;9.6;9.7;9;611;630;710;820;1040;765;85;88;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;2. 1 an et plus;;6.8;7.8;9.2;10.5;12.6;8.9;373;440;524;615;780;558;63;1242;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;5;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;2. 1 an et plus;Maison 4P+;;;;;;;;;;;;;;28;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;2. 1 an et plus;Appart 1P;10.3;11;13.1;15;18.2;12.9;278;330;367;433;490;378;29;150;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;2. 1 an et plus;Appart 2P;8.4;9.6;10.7;11.9;13.5;10.6;359;395;460;509;580;464;44;346;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;2. 1 an et plus;Appart 3P;7.1;7.8;8.6;9.6;10.3;8.6;417;481;544;600;720;549;64;432;;Estimation directe
B2900;2025;Brest;;;2. Entre 1946-1970;2. 1 an et plus;Appart 4P+;6.3;6.8;8;9.2;9.7;8;430;520;600;721;1054;659;82;281;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;;;7;7.9;9.3;10.6;13.8;8.8;400;448;550;680;842;585;66;586;7476;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;;Ensemble 4P+;5.8;7;8.4;9.4;9.9;7.9;501;667;750;850;930;745;94;142;2320;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;;Ensemble 1P;9.6;10.9;16.8;17.4;21.1;14.1;320;327;370;400;415;369;26;141;1031;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;;Ensemble 2P;8.1;8.9;10.2;11.4;13.8;10.2;412;420;458;500;550;469;46;178;2098;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;;Ensemble 3P;6.7;7.4;8.6;10.6;10.9;8.7;450;496;563;662;680;563;65;125;2027;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;1. Moins de 1 an;;8.7;9.9;10.6;14.3;17.4;10.7;380;444;550;750;780;582;55;150;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;1;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;1. Moins de 1 an;Appart 1P;13;16.5;17.4;21.1;21.1;16.5;365;370;380;400;420;390;24;55;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;1. Moins de 1 an;Appart 2P;;;;;;;;;;;;;;44;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;1. Moins de 1 an;Appart 3P;;;;;;;;;;;;;;30;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;1. Moins de 1 an;Appart 4P+;;;;;;;;;;;;;;20;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;2. 1 an et plus;;6.6;7.5;8.8;10;11.3;8.3;405;450;530;680;850;586;70;436;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;2;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;2. 1 an et plus;Maison 4P+;;;;;;;;;;;;;;23;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;2. 1 an et plus;Appart 1P;9.6;9.8;11.2;16.6;16.8;12.1;320;320;327;367;403;346;29;86;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;2. 1 an et plus;Appart 2P;8.1;8.8;9.6;11.1;12.5;9.7;401;420;430;484;530;453;47;134;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;2. 1 an et plus;Appart 3P;6.2;7.3;8;10.3;10.9;8.4;420;460;524;609;680;545;65;93;;Estimation directe
B2900;2025;Brest;;;3. Entre 1971-1990;2. 1 an et plus;Appart 4P+;6;7;7.6;8.6;9.4;7.7;498;567;680;758;897;673;87;98;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;;;8.1;9.5;11.9;14;16.2;10.7;320;350;450;600;824;509;48;375;3890;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;;Ensemble 4P+;;;;;;;;;;;;;;47;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;;Ensemble 1P;12.7;13.4;14.6;16.8;17.9;14.9;290;300;340;350;420;341;23;139;870;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;;Ensemble 2P;10.1;11;12;13;15;11.8;378;428;449;482;600;461;39;134;1295;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;;Ensemble 3P;7.4;7.4;8.5;9.4;10.9;8.8;500;500;568;610;643;569;65;55;849;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;1. Moins de 1 an;;7.4;10.3;11.3;14.5;17.5;10.9;290;350;450;500;640;469;43;129;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;1;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;6;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;1. Moins de 1 an;Appart 1P;14.5;14.5;16.8;17.5;18.9;16;290;290;350;350;400;339;21;63;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;1. Moins de 1 an;Appart 2P;;;;;;;;;;;;;;42;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;1. Moins de 1 an;Appart 3P;;;;;;;;;;;;;;14;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;1. Moins de 1 an;Appart 4P+;;;;;;;;;;;;;;3;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;2. 1 an et plus;;8.2;9.4;12.2;13.6;16;10.5;320;350;449;610;873;529;50;246;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;3;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;2. 1 an et plus;Maison 4P+;;;;;;;;;;;;;;24;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;2. 1 an et plus;Appart 1P;12.7;13.1;13.6;16.2;17.9;14.3;295;300;340;347;420;342;24;76;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;2. 1 an et plus;Appart 2P;10.1;10.5;12.5;14;15;12;361;416;449;521;600;463;39;91;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;2. 1 an et plus;Appart 3P;;;;;;;;;;;;;;38;;Estimation directe
B2900;2025;Brest;;;4. Entre 1991-2005;2. 1 an et plus;Appart 4P+;;;;;;;;;;;;;;14;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;;;8.4;9.2;10;11.3;12.4;9.7;455;501;596;768;900;645;66;1282;4913;Estimation directe
B2900;2025;Brest;;;5. Après 2005;;Ensemble 4P+;7;8.2;9;9.9;10.6;8.7;749;800;890;920;1050;891;102;205;1395;Estimation directe
B2900;2025;Brest;;;5. Après 2005;;Ensemble 1P;10.4;11.5;12.4;13.1;15.9;12.6;317;374;385;418;475;397;32;77;328;Estimation directe
B2900;2025;Brest;;;5. Après 2005;;Ensemble 2P;9.3;10;11.4;12.3;13.5;11.3;430;461;500;540;555;498;44;588;1741;Estimation directe
B2900;2025;Brest;;;5. Après 2005;;Ensemble 3P;8.9;9.4;9.7;10.3;11.3;9.8;480;540;610;678;700;605;62;412;1448;Estimation directe
B2900;2025;Brest;;;5. Après 2005;1. Moins de 1 an;;9.1;9.6;10;12;13.1;9.8;460;490;585;730;943;643;66;356;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;2;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;31;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;1. Moins de 1 an;Appart 1P;;;;;;;;;;;;;;26;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;1. Moins de 1 an;Appart 2P;9.6;10;12;12.5;13.8;11.7;406;470;515;550;555;501;43;162;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;1. Moins de 1 an;Appart 3P;9.4;9.6;9.8;10.8;12;10.2;480;480;600;669;730;603;59;112;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;1. Moins de 1 an;Appart 4P+;;;;;;;;;;;;;;23;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;2. 1 an et plus;;8.2;9;9.8;11.1;12.2;9.7;453;505;598;785;900;646;67;926;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;12;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;2. 1 an et plus;Maison 4P+;7;8.2;8.7;9.9;10.6;9.1;785;800;890;915;960;896;99;92;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;2. 1 an et plus;Appart 1P;10.4;11.5;12.4;12.4;14.8;12.1;313;371;385;394;472;386;32;51;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;2. 1 an et plus;Appart 2P;9.3;10;11.3;12;12.5;11;430;455;500;527;586;497;45;426;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;2. 1 an et plus;Appart 3P;8.4;9.2;9.7;10.1;11;9.7;490;530;590;670;700;596;61;286;;Estimation directe
B2900;2025;Brest;;;5. Après 2005;2. 1 an et plus;Appart 4P+;6.7;7.9;8.9;9.4;10.2;8.6;617;663;742;804;864;753;88;59;;Estimation directe
B2900;2025;Brest;;Maison;;;;6.5;7.7;9;10;11.3;8.5;610;750;825;915;1130;852;100;266;3738;Estimation directe
B2900;2025;Brest;;Maison;;;Maison 1-3P;;;;;;;;;;;;;;34;;Estimation directe
B2900;2025;Brest;;Maison;;;Maison 4P+;6.1;7.4;8.6;9.9;10.7;8.3;667;780;850;940;1150;886;107;232;3101;Estimation directe
B2900;2025;Brest;;Maison;;1. Moins de 1 an;;5.3;8.6;9.9;10.4;11.4;8.6;700;780;840;1050;1270;924;107;55;;Estimation directe
B2900;2025;Brest;;Maison;;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;5;;Estimation directe
B2900;2025;Brest;;Maison;;1. Moins de 1 an;Maison 4P+;5.3;7.6;8.9;9.9;10.6;8.1;768;825;950;1100;1270;988;121;50;;Estimation directe
B2900;2025;Brest;;Maison;;2. 1 an et plus;;6.7;7.7;8.8;9.7;10.7;8.5;610;740;824;890;1130;830;97;211;;Estimation directe
B2900;2025;Brest;;Maison;;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;29;;Estimation directe
B2900;2025;Brest;;Maison;;2. 1 an et plus;Maison 4P+;6.2;7.4;8.5;9.3;10.7;8.3;620;769;840;911;1130;858;103;182;;Estimation directe
B2900;2025;Brest;;Maison;1. Avant 1946;;;;;;;;;;;;;;;;29;;Estimation directe
B2900;2025;Brest;;Maison;1. Avant 1946;;Maison 1-3P;;;;;;;;;;;;;;9;;Estimation directe
B2900;2025;Brest;;Maison;1. Avant 1946;;Maison 4P+;;;;;;;;;;;;;;20;;Estimation directe
B2900;2025;Brest;;Maison;1. Avant 1946;1. Moins de 1 an;;;;;;;;;;;;;;;7;;Estimation directe
B2900;2025;Brest;;Maison;1. Avant 1946;2. 1 an et plus;;;;;;;;;;;;;;;22;;Estimation directe
B2900;2025;Brest;;Maison;2. Entre 1946-1970;;;;;;;;;;;;;;;;40;;Estimation directe
B2900;2025;Brest;;Maison;2. Entre 1946-1970;;Maison 1-3P;;;;;;;;;;;;;;5;;Estimation directe
B2900;2025;Brest;;Maison;2. Entre 1946-1970;;Maison 4P+;;;;;;;;;;;;;;35;;Estimation directe
B2900;2025;Brest;;Maison;2. Entre 1946-1970;1. Moins de 1 an;;;;;;;;;;;;;;;7;;Estimation directe
B2900;2025;Brest;;Maison;2. Entre 1946-1970;2. 1 an et plus;;;;;;;;;;;;;;;33;;Estimation directe
B2900;2025;Brest;;Maison;3. Entre 1971-1990;;;;;;;;;;;;;;;;26;;Estimation directe
B2900;2025;Brest;;Maison;3. Entre 1971-1990;;Maison 1-3P;;;;;;;;;;;;;;2;;Estimation directe
B2900;2025;Brest;;Maison;3. Entre 1971-1990;;Maison 4P+;;;;;;;;;;;;;;24;;Estimation directe
B2900;2025;Brest;;Maison;3. Entre 1971-1990;1. Moins de 1 an;;;;;;;;;;;;;;;1;;Estimation directe
B2900;2025;Brest;;Maison;3. Entre 1971-1990;2. 1 an et plus;;;;;;;;;;;;;;;25;;Estimation directe
B2900;2025;Brest;;Maison;4. Entre 1991-2005;;;;;;;;;;;;;;;;34;;Estimation directe
B2900;2025;Brest;;Maison;4. Entre 1991-2005;;Maison 1-3P;;;;;;;;;;;;;;4;;Estimation directe
B2900;2025;Brest;;Maison;4. Entre 1991-2005;;Maison 4P+;;;;;;;;;;;;;;30;;Estimation directe
B2900;2025;Brest;;Maison;4. Entre 1991-2005;1. Moins de 1 an;;;;;;;;;;;;;;;7;;Estimation directe
B2900;2025;Brest;;Maison;4. Entre 1991-2005;2. 1 an et plus;;;;;;;;;;;;;;;27;;Estimation directe
B2900;2025;Brest;;Maison;5. Après 2005;;;7;8.4;9.1;10;10.5;8.8;700;785;890;915;1050;879;99;137;1156;Estimation directe
B2900;2025;Brest;;Maison;5. Après 2005;;Maison 1-3P;;;;;;;;;;;;;;14;;Estimation directe
B2900;2025;Brest;;Maison;5. Après 2005;;Maison 4P+;7;8.2;9;9.9;10.6;8.8;785;825;890;940;1050;914;104;123;1030;Estimation directe
B2900;2025;Brest;;Maison;5. Après 2005;1. Moins de 1 an;;;;;;;;;;;;;;;33;;Estimation directe
B2900;2025;Brest;;Maison;5. Après 2005;2. 1 an et plus;;7.2;8.4;9;9.9;10.6;9.1;663;794;879;910;940;869;96;104;;Estimation directe
B2900;2025;Brest;;Appartement;;;;7.4;8.7;10.1;12;14.5;9.8;350;420;500;600;710;528;54;4075;23425;Estimation directe
B2900;2025;Brest;;Appartement;;;Appart 1P;11;12.6;14.5;17;19.1;14.2;295;327;350;400;435;364;26;696;3508;Estimation directe
B2900;2025;Brest;;Appartement;;;Appart 2P;8.9;9.8;11.1;12.5;14;11;388;420;473;520;580;474;43;1517;8215;Estimation directe
B2900;2025;Brest;;Appartement;;;Appart 3P;7.4;8.3;9.4;10.3;11.1;9.2;452;500;565;647;710;577;63;1245;7271;Estimation directe
B2900;2025;Brest;;Appartement;;;Appart 4P+;6.6;7.2;8.2;9.3;9.9;8.2;475;584;677;800;1000;707;86;617;4431;Estimation directe
B2900;2025;Brest;;Appartement;;1. Moins de 1 an;;8.2;9.5;10.8;12.6;16.8;10.5;350;435;510;620;750;547;52;1173;;Estimation directe
B2900;2025;Brest;;Appartement;;1. Moins de 1 an;Appart 1P;12.2;14.2;16.2;18.1;20.2;15.5;320;340;361;420;436;375;24;265;;Estimation directe
B2900;2025;Brest;;Appartement;;1. Moins de 1 an;Appart 2P;9.6;10.5;11.3;12.5;14;11.4;409;450;490;540;585;493;43;416;;Estimation directe
B2900;2025;Brest;;Appartement;;1. Moins de 1 an;Appart 3P;7.4;8.8;9.6;10.5;12;9.6;480;520;600;685;730;610;64;350;;Estimation directe
B2900;2025;Brest;;Appartement;;1. Moins de 1 an;Appart 4P+;7.2;8;9.1;9.9;9.9;8.7;630;680;780;840;1010;799;92;142;;Estimation directe
B2900;2025;Brest;;Appartement;;2. 1 an et plus;;7.3;8.4;9.7;11.5;13.8;9.5;342;420;500;592;690;517;55;2902;;Estimation directe
B2900;2025;Brest;;Appartement;;2. 1 an et plus;Appart 1P;10.4;11.8;13.6;16;17.9;13.4;295;320;340;393;432;356;27;431;;Estimation directe
B2900;2025;Brest;;Appartement;;2. 1 an et plus;Appart 2P;8.4;9.6;10.8;12.4;13.9;10.7;362;414;454;513;578;463;43;1101;;Estimation directe
B2900;2025;Brest;;Appartement;;2. 1 an et plus;Appart 3P;7.2;8.1;9.2;10;10.8;8.9;437;496;549;620;693;559;63;895;;Estimation directe
B2900;2025;Brest;;Appartement;;2. 1 an et plus;Appart 4P+;6.3;7;8;8.9;9.7;8;459;549;628;721;930;671;84;475;;Estimation directe
B2900;2025;Brest;;Appartement;1. Avant 1946;;;8;9.5;10.7;12.5;16.2;10.3;350;395;480;570;710;508;49;371;1745;Estimation directe
B2900;2025;Brest;;Appartement;1. Avant 1946;;Appart 1P;11.4;12.2;15.8;19;19.4;14.9;300;330;350;395;420;358;24;113;407;Estimation directe
B2900;2025;Brest;;Appartement;1. Avant 1946;;Appart 2P;8.9;9.8;10.7;12.4;14;10.8;350;409;460;507;551;458;42;155;756;Estimation directe
B2900;2025;Brest;;Appartement;1. Avant 1946;;Appart 3P;8.9;9.6;10.4;10.5;11.9;10;385;520;590;710;980;626;63;72;361;Estimation directe
B2900;2025;Brest;;Appartement;1. Avant 1946;;Appart 4P+;;;;;;;;;;;;;;31;;Estimation directe
B2900;2025;Brest;;Appartement;1. Avant 1946;1. Moins de 1 an;;8;9.6;10.5;12.5;19.4;10.3;350;420;500;615;930;561;54;130;;Estimation directe
B2900;2025;Brest;;Appartement;1. Avant 1946;2. 1 an et plus;;8.1;8.9;10.7;12.9;15.5;10.3;330;383;420;551;616;459;44;241;;Estimation directe
B2900;2025;Brest;;Appartement;2. Entre 1946-1970;;;7.1;8.2;9.6;11.3;13.6;9.4;363;440;525;611;725;547;58;1658;8045;Estimation directe
B2900;2025;Brest;;Appartement;2. Entre 1946-1970;;Appart 1P;11;11.5;13.6;15.3;18.4;13.4;330;334;395;435;489;389;29;226;875;Estimation directe
B2900;2025;Brest;;Appartement;2. Entre 1946-1970;;Appart 2P;8.6;9.8;11;12.5;13.7;10.9;359;421;480;558;603;484;44;463;2401;Estimation directe
B2900;2025;Brest;;Appartement;2. Entre 1946-1970;;Appart 3P;7.1;8;8.8;10;11;8.8;417;500;550;615;720;559;63;600;2875;Estimation directe
B2900;2025;Brest;;Appartement;2. Entre 1946-1970;;Appart 4P+;6.6;7;8.1;9.3;9.7;8.3;430;553;630;750;1040;684;83;369;1894;Estimation directe
B2900;2025;Brest;;Appartement;2. Entre 1946-1970;1. Moins de 1 an;;8.2;9.1;10.5;12.5;14.4;10.3;350;450;560;650;730;563;55;449;;Estimation directe
B2900;2025;Brest;;Appartement;2. Entre 1946-1970;2. 1 an et plus;;6.9;7.9;9.2;10.6;12.8;9;370;433;515;600;721;540;60;1209;;Estimation directe
B2900;2025;Brest;;Appartement;3. Entre 1971-1990;;;7;8;9.4;10.7;14.3;9.1;390;430;510;680;780;550;61;560;6643;Estimation directe
B2900;2025;Brest;;Appartement;3. Entre 1971-1990;;Appart 1P;9.6;10.9;16.8;17.4;21.1;14.1;320;327;370;400;415;369;26;141;1030;Estimation directe
B2900;2025;Brest;;Appartement;3. Entre 1971-1990;;Appart 2P;8.1;8.9;10.2;11.4;13.8;10.2;412;420;458;500;550;469;46;178;2072;Estimation directe
B2900;2025;Brest;;Appartement;3. Entre 1971-1990;;Appart 3P;6.7;7.4;8.6;10.6;10.9;8.7;450;496;563;662;680;563;65;123;1916;Estimation directe
B2900;2025;Brest;;Appartement;3. Entre 1971-1990;;Appart 4P+;6.6;7;8.2;9.4;9.9;8.1;498;607;680;780;871;699;86;118;1626;Estimation directe
B2900;2025;Brest;;Appartement;3. Entre 1971-1990;1. Moins de 1 an;;8.7;9.9;10.6;14.3;17.4;10.7;380;444;550;750;780;581;54;149;;Estimation directe
